53 2
431 -904 21
319 -96 95
679 -408 67
61 -681 92
-990 -808 55
79 484 1
-647 -458 48
404 827 11
532 981 74
-976 998 55
234 -842 79
-897 -574 22
-350 628 64
-66 -513 75
812 290 34
-445 902 92
-130 -113 96
511 -727 80
-893 -223 34
-762 -352 52
-487 -711 82
-682 -640 21
266 -806 5
114 491 61
648 -409 21
723 614 69
908 515 10
119 468 78
366 -791 19
-79 99 58
-362 810 93
209 735 29
-308 712 57
-980 -340 93
-212 -676 46
94 -824 66
-44 -650 17
-222 -757 14
-39 -32 13
581 364 72
705 146 42
-684 813 74
161 -608 5
-667 351 68
-753 604 81
-555 -744 23
-675 620 80
-51 885 67
-923 571 48
701 113 8
395 223 83
467 -672 15
-150 -253 72
