1000 1000
-984572593 970668420 981865772
-367865846 355478069 -355097420
-178978792 189213843 -170723192
-162378174 175326348 -163163483
-529025181 560590103 -542576934
-742285576 744514898 -732333645
-105706496 127033414 -111138344
-266246494 274970329 -262688605
-940419561 946094125 931699463
-206735730 217416149 -207631118
-174313596 181320249 -167105117
-959681216 956290544 950998182
-392076886 399277174 -387974401
-441205489 461424581 389610841
-249043878 259707461 207225689
-779914909 771431424 732309134
-486016561 501272920 -483939270
-682250207 673796627 -672031690
-421996392 421075084 -400243192
-719725985 709827060 667963663
-254788834 270490227 -258938143
-160784468 174076070 -161347067
-319012751 308502578 -307108016
-377995405 370548503 315641336
-157317012 171125150 120172925
-228769398 238409502 -227433866
-192882322 208858676 164160104
-246109546 255681247 -246350568
-524539883 555081633 -542336229
-34999305 39335520 29437902
-439224432 457684986 383384564
-469909280 487910228 -465559745
-682825977 676586071 622476186
-886478668 897479172 -869651834
-742539913 744739806 701263569
-564644006 590798051 -561647549
-171548259 181099905 128973764
-594589141 613149067 -594954159
-938084442 942180011 930169853
-859902583 867338112 823559872
-185733971 194913810 -184362123
-885404530 894282353 866382586
-886678621 900966290 870872269
-121136666 128486665 80572544
-935036773 937714019 -932101105
-249800528 263672699 -253852547
-713976018 707066162 665823242
-58426473 65759784 -60707006
-515272327 542922748 474505504
-846068519 843943727 -826872128
-756005128 751315704 713328325
-721879916 712376550 673839173
-201842359 214622238 165964432
-104729120 125820431 77306893
-87240563 97076324 64287150
-55888038 65809492 44762413
-759385692 751581137 -747234069
-32901676 33237050 -44314654
-676363870 668222734 617669792
-760610242 754639339 717234573
-29607677 33301543 20510260
-934375707 932692370 -925601300
-455131127 476970484 -452945143
-70457763 71030444 -65360436
-564523724 591903817 518223589
-732222578 739267884 687979822
-255354641 273052416 -262140049
-415060674 412060399 -393651902
-203359900 215544795 -193502850
-505890877 532622841 448997068
-660137234 660980876 606335053
-706517380 700060362 654654767
-711009868 700255177 -695273184
-88428773 98735020 66865829
-89551108 104310213 67564049
-367816925 355542461 301008645
-307082437 302303879 252412358
-224986409 232852460 186620966
-898533528 902140205 -879039207
-13705349 12951429 12542575
-473907438 488306633 -470493149
-174087489 183677764 131982247
-71279595 74666792 55851079
-754989215 750502430 710330180
-872365544 886951343 -858958890
-379875961 370606293 -373655753
-874861616 888430996 -860881357
-464658886 487815557 405875892
-38049458 39430937 30133877
-134830407 145862698 -135703758
-370386582 358543030 307623164
-572483781 596245937 -571249542
-513826976 542303163 -528667978
-371927423 357927722 -368094940
-939838689 943709032 -937706149
-336555145 322449947 -319446604
-681751793 674326777 618397341
-2830958 2714807 -5690822
-390789725 401530173 340838824
-209304070 224620738 178071586
-914820378 929877285 907768205
