54 54
-483589342 -478514413 972512866
536296420 820300775 382218586
98361640 347894899 913185058
-159294997 -47610473 -431675294
395138960 753110498 997856177
-475240354 56392923 -993650200
-483015503 -433658205 972972569
-44085965 211510016 -998756999
818253598 889911087 -999972863
339771365 397408929 940387534
650026742 904408373 147982638
-490427914 -366629126 973873924
319666105 502112061 922854045
217237407 505012041 953479516
128932030 322294348 737288692
8347025 57938632 -995508292
-349656663 -278044281 -735772552
-882137882 -851412259 635151169
530859626 900138701 998624575
-542001309 -482701318 -458415253
129449458 308113039 844048553
262960815 850880940 -999877130
-474774220 -400002796 -990899563
131926696 151743111 883380455
245269854 317296303 -999731227
505590771 767049363 396770434
-892563900 -834726030 609291243
121094864 150520164 878179923
-721636662 -484384938 -349728428
-277078923 -158340103 -752021044
-401019164 -364097810 77240552
71223850 181248140 -999041963
-994227200 -618502598 586238096
534592673 797178446 -83983319
182883119 497472353 925354918
-850361057 -422472635 969466841
390462064 511269615 987152440
-490961780 -474008545 972432031
-158747868 -49741985 126418285
-751139681 -606991786 32763479
-846021973 -525987561 874800439
322780250 343074588 914776259
-400751426 -277542508 -449803590
-586445114 -399527912 -988485830
135248741 304724577 886893336
70060647 316985338 -999385780
-992245072 -493240972 680088415
624247481 900765855 377446382
-278135865 327516782 609989991
517259623 821316128 998177984
342700409 394356933 926921099
815586418 909517229 -999986531
-353904532 -159572062 -789295913
504890443 807018355 -247720437
-485450404 -574277842 -344058322
701168880 91244735 378103920
314019381 -999760327 151108661
-161013652 -881198083 147137142
516578404 -595578741 430961562
9159101 -999240984 -995004041
-478625113 970223848 972527104
130490297 725638271 852440344
794207617 -917826199 138294307
336229962 559763659 917371490
901462403 -999996580 175539620
-399299495 -467141332 176063815
350976736 925697391 948373340
404862178 969227345 999446661
301107871 781753567 903154048
-104938224 -901295409 138055296
-373230365 -128564882 987409902
-872584432 599999496 660847832
839126904 -999982320 108999118
-603832516 -131807603 907977468
141475433 882184716 890219506
813239459 381448840 998362449
-473073045 -995560640 -990391049
77137072 -999871370 -999013902
156054284 -999259842 473820445
503807268 68313953 989536320
-940530289 -151666390 721753604
53309252 -996957280 -318245350
-491364880 -998029641 -375614914
-277073751 -784987570 821128762
-401232901 -992058337 939594469
122385795 864738122 983396561
-827369618 687395356 997048774
544664192 -88600598 396735894
389664896 926175273 948162405
-481763230 972462482 973100907
489563099 482599994 934041850
-489667807 970432101 983624898
-156240539 -608483894 242784153
-864063115 586698883 654003540
-627274839 -120854219 673116490
318874247 -479374984 844220939
-289755318 -973782291 -470920512
-465330872 -469026839 973668530
144022274 852909470 885515909
238202542 914719338 966520605
-719161589 -716779563 93188617
821946918 -999993871 -999949476
268007243 -999981788 -999533591
733398768 390680663 998023206
327843884 914076213 925166662
899450107 305576359 999706681
-278294867 -739789851 -115314647
531532463 998030795 999773801
