p= -300 divFloor(p, sc)= -3 divCeil(p, sc)= -3
p= -299 divFloor(p, sc)= -3 divCeil(p, sc)= -2
p= -298 divFloor(p, sc)= -3 divCeil(p, sc)= -2
p= -297 divFloor(p, sc)= -3 divCeil(p, sc)= -2
p= -296 divFloor(p, sc)= -3 divCeil(p, sc)= -2
p= -295 divFloor(p, sc)= -3 divCeil(p, sc)= -2
p= -294 divFloor(p, sc)= -3 divCeil(p, sc)= -2
p= -293 divFloor(p, sc)= -3 divCeil(p, sc)= -2
p= -292 divFloor(p, sc)= -3 divCeil(p, sc)= -2
p= -291 divFloor(p, sc)= -3 divCeil(p, sc)= -2
p= -290 divFloor(p, sc)= -3 divCeil(p, sc)= -2
p= -289 divFloor(p, sc)= -3 divCeil(p, sc)= -2
p= -288 divFloor(p, sc)= -3 divCeil(p, sc)= -2
p= -287 divFloor(p, sc)= -3 divCeil(p, sc)= -2
p= -286 divFloor(p, sc)= -3 divCeil(p, sc)= -2
p= -285 divFloor(p, sc)= -3 divCeil(p, sc)= -2
p= -284 divFloor(p, sc)= -3 divCeil(p, sc)= -2
p= -283 divFloor(p, sc)= -3 divCeil(p, sc)= -2
p= -282 divFloor(p, sc)= -3 divCeil(p, sc)= -2
p= -281 divFloor(p, sc)= -3 divCeil(p, sc)= -2
p= -280 divFloor(p, sc)= -3 divCeil(p, sc)= -2
p= -279 divFloor(p, sc)= -3 divCeil(p, sc)= -2
p= -278 divFloor(p, sc)= -3 divCeil(p, sc)= -2
p= -277 divFloor(p, sc)= -3 divCeil(p, sc)= -2
p= -276 divFloor(p, sc)= -3 divCeil(p, sc)= -2
p= -275 divFloor(p, sc)= -3 divCeil(p, sc)= -2
p= -274 divFloor(p, sc)= -3 divCeil(p, sc)= -2
p= -273 divFloor(p, sc)= -3 divCeil(p, sc)= -2
p= -272 divFloor(p, sc)= -3 divCeil(p, sc)= -2
p= -271 divFloor(p, sc)= -3 divCeil(p, sc)= -2
p= -270 divFloor(p, sc)= -3 divCeil(p, sc)= -2
p= -269 divFloor(p, sc)= -3 divCeil(p, sc)= -2
p= -268 divFloor(p, sc)= -3 divCeil(p, sc)= -2
p= -267 divFloor(p, sc)= -3 divCeil(p, sc)= -2
