29 18
927750774 59389857 985129579 351554274 336399420 914393934 896041376 377896930 464643468 83764324 415798651 542398495 688283794 501822574 501418228 997553413 869997239 325226726 30702067 814228358 507092327 866506282 158957896 404219329 157123916 30064150 286476101 541501548 589704396
446345210 57055698 822826268 428587694 917250072 857495342 545819788 410591323 912413847 389893573 607795227 573983865 103611741 982855613 477958520 458809427 345637793 214438305 632342034 441966355 837755325 421330889 171485400 338575071 645080570 537245364 755349902 384734738 336514168
3 4 4
3 2 3
2 24 28 12625442
1 10 13 894905685
2 10 16 976207504
1 12 18 809237152
1 4 5 650128185
1 4 24 980375721
1 14 22 996123227
2 13 28 887826943
2 5 29 393254984
2 12 25 529350411
2 5 22 966353802
2 8 27 233612528
1 3 20 5733673
1 9 11 128416385
1 5 10 801645203
1 8 9 422242243
