1000 1000
470 633 256940
1 807 11418
235 963 199813
810 830 179115
304 853 876891
478 581 240446
359 371 859169
146 467 345895
67 825 766449
528 623 512355
108 751 516840
755 770 155330
162 459 93527
689 772 244252
324 469 89685
393 415 53942
513 867 242440
344 846 545506
359 674 37341
326 675 566463
756 836 324750
233 943 258694
631 746 717286
451 765 304507
223 509 851296
597 717 851258
488 865 509968
405 746 782501
74 834 654259
449 575 25574
545 618 326618
517 910 742826
626 753 665661
5 889 133581
170 348 279947
467 674 717954
376 409 889023
292 330 869387
262 496 920847
94 862 841887
102 487 54990
42 920 721174
19 512 76646
64 463 666264
51 470 448052
303 794 858902
349 352 954544
486 957 999894
233 608 639964
287 404 213075
148 832 90369
290 749 385106
194 262 689864
177 724 972149
557 782 801423
16 738 503016
306 392 249742
195 613 482794
383 713 895065
279 640 192479
201 779 617733
243 784 879569
82 500 943052
620 682 426593
493 653 208637
752 916 312493
93 156 216583
48 143 91011
99 537 861236
247 485 747345
468 850 735013
269 678 568507
431 874 449274
279 379 371983
356 995 442386
113 833 760617
851 965 148067
625 831 785803
245 751 818750
694 896 425787
279 882 910209
564 709 687922
618 925 610172
7 278 424169
332 465 892375
341 464 842700
611 715 510286
51 137 720951
29 325 718178
635 892 336015
390 919 520248
165 548 119833
705 858 646093
210 810 137824
328 668 414763
5 401 312194
267 353 596163
178 871 979372
28 572 932656
763 947 413836
111 625 249037
712 996 308497
604 919 289189
368 741 937155
424 592 621827
819 942 218748
829 928 404287
672 785 354602
233 843 942795
257 900 594839
581 614 199332
185 558 670778
293 298 5650
58 835 66913
593 871 431787
303 776 942354
309 440 757093
73 328 870291
304 323 472908
37 464 644033
462 623 34094
187 916 300992
316 364 42184
415 964 668537
363 414 611068
218 909 71708
219 556 374062
147 674 33122
741 779 446788
24 152 964274
117 184 377752
96 273 506439
227 298 615232
174 290 97639
171 850 27741
140 391 904770
31 583 812765
451 755 542306
215 609 676112
359 513 161405
99 205 158176
313 951 974845
200 513 317333
708 800 311317
184 521 151156
73 285 434875
210 362 497147
33 839 431300
217 364 2387
66 304 214626
270 508 197641
211 533 990842
154 205 721102
