40 3 3 50
1 1
1 3
2 5
4 8
7 10
10 15
13 20
1 20
5 5
6 9
2 2
3 7
8 12
11 14
15 19
4 20
1 6
7 7
9 13
14 18
2 10
6 16
12 20
3 3
5 11
1 4
16 20
10 10
8 15
2 19
1 8
9 20
4 6
7 17
12 12
13 16
18 20
3 14
5 18
1 20
1 2 4
40 10 20
7 1 5
15 16 16
23 1 20
31 6 9
2 18 20
18 7 12
29 3 3
35 11 19
4 5 5
12 2 18
20 1 1
28 9 14
36 4 20
5 8 13
13 10 10
21 2 7
39 15 20
8 6 6
16 1 19
24 12 15
32 1 4
3 6 11
11 14 18
19 5 17
27 20 20
34 2 6
6 9 20
14 1 8
22 13 13
30 7 16
38 4 4
10 2 10
26 11 20
33 1 20
37 17 18
9 3 9
17 12 20
25 6 6
1 1 20
40 1 1
7 14 19
15 2 10
23 8 12
31 1 1
2 5 15
18 19 20
29 1 20
35 4 8
