13 13 50
1 5 8 94296
9 11 12 9267
8 11 5 50851
5 9 11 80274
2 3 6 17851
7 12 6 11886
2 11 9 78429
3 13 3 27765
4 10 6 65718
12 13 7 21024
3 4 8 76349
2 13 1 66992
1 8 3 80086
5 6 1 92734
2 6 4 18399
6 12 11 44131
6 8 8 79969
7 10 0 92887
6 13 9 29036
4 13 6 6473
6 9 0 44128
2 11 3 81055
2 7 12 15228
4 5 12 98999
6 13 2 97375
3 6 3 38848
8 10 10 40478
1 9 4 38243
1 4 3 87184
2 9 5 50851
2 7 0 45226
9 13 12 61171
8 12 5 55252
5 9 6 15114
3 9 5 7542
3 4 1 90856
10 12 10 66013
3 4 10 984
6 9 7 10368
6 8 0 50085
4 9 6 50382
4 11 0 81849
6 10 11 69610
8 10 6 88327
5 10 11 41220
6 12 7 76262
3 6 5 45364
7 12 12 62575
8 10 2 18777
5 12 6 83406
